Program_Name;IFS_4P_Module
AUEURPOL3;Core_Banking
AUEXRASP;Core_Banking
AUEXRDEV;Core_Banking
AUFCMJAN;Core_Banking
AUFOLSET0;Core_Banking
AUGXACC;Core_Banking
AUGXACR;Core_Banking
AUGXBUD;Core_Banking
AUGXPRE;Core_Banking
AUHKGINBRA;Core_Banking
AUHOLUPD;Core_Banking
AUINTCAL;Core_Banking
AUINTCFD;Core_Banking
AULDACGTAB;Core_Banking
AULDBIL;Core_Banking
AULDGMEXR;Core_Banking
AULDGMINT;Core_Banking
AULDNCPINT;Core_Banking
AULOADEXR;Core_Banking
AULOADFOL;Core_Banking
AULOADMDC;Core_Banking
AULOCDET;Core_Banking
AULOCDUP;Core_Banking
AULOCRES;Core_Banking
AUMDCCOP;Core_Banking
AUMDCDUP;Core_Banking
AUMDCFUP;Core_Banking
AUMDCREP;Core_Banking
AUMVTCLN;Core_Banking
AUNEWEMU;Core_Banking
AUNTUDEL;Core_Banking
AUOFBALMVT;Core_Banking
AUOLDBVA;Core_Banking
AUPDGMEXR;Core_Banking
AUPDGMINT;Core_Banking
AUPLINIT;Core_Banking
AUPRRTAUEN;Core_Banking
AUPURACPI;Core_Banking
AURGRPOS;Core_Banking
AURGRPOS2;Financial_Markets
AURGRPOS4;Financial_Markets
AURNDDET;Core_Banking
AURVMVT;Core_Banking
AUSAVTAB;Core_Banking
AUSHFBAL;Core_Banking
AUSPADEL;Core_Banking
AUSTM942RT;Core_Banking
AUSTMCCR;Core_Banking
AUSTMKOC;Core_Banking
AUSTMLOJ;Core_Banking
AUSTMPR2;Core_Banking
AUSTMPRC;Core_Banking
AUSTMSTER;Core_Banking
AUSTMSTERRT;Core_Banking
AUSTMTLL;Core_Banking
AUTKACGTAB;Core_Banking
AUTLLWP;Core_Banking
AUXNPINT;Core_Banking
BABSM;Financial_Markets
BASEFR150;Core_Banking
BASEFR175;Core_Banking
BASEFR200;Core_Banking
BASEFR220;Core_Banking
BASEFRAMES;Core_Banking
BASW5;Core_Banking
BASWA;Financial_Markets
BASWO;Financial_Markets
BATCH;Core_Banking
BBOK5;Core_Banking
BBOKS;Financial_Markets
BDAUT;Financial_Markets
BDL2C;Financial_Markets
BDLA5;Financial_Markets
BDLAO;Financial_Markets
BDLAX;Financial_Markets
BDLE5;Financial_Markets
BDLG5;Financial_Markets
BDLGA;Financial_Markets
BDLGL;Financial_Markets
BDLGO;Financial_Markets
BDLGRDO;Core_Banking
BDLGX;Financial_Markets
BDLPM;Financial_Markets
BDLPO;Financial_Markets
BDLT5;Financial_Markets
BDLTM;Financial_Markets
BDLTO;Financial_Markets
BDLTX;Financial_Markets
BDLVM;Financial_Markets
BEGBATCH;Financial_Markets
BEUR2;Financial_Markets
BEURM;Financial_Markets
BIAUT;Financial_Markets
BICTM;Financial_Markets
BICTO;Financial_Markets
BICTX;Financial_Markets
BIS2C;Financial_Markets
BISPA;Financial_Markets
BISPM;Financial_Markets
BISPO;Financial_Markets
BISPX;Financial_Markets
BISS5;Financial_Markets
BISSA;Financial_Markets
BISSO;Financial_Markets
BISSX;Financial_Markets
BITTO;Financial_Markets
BLACJUSPOR;Financial_Markets
BLASWSUM;Financial_Markets
BLBDLINV;Financial_Markets
BLBDLPOR;Financial_Markets
BLBISINV;Financial_Markets
BLBNDDL;Financial_Markets
BLDEATCK;Financial_Markets
BLDLL;Financial_Markets
BLDLYFWD;Financial_Markets
BLDLYINVPL;Financial_Markets
BLDLYPOS;Financial_Markets
BLDLYTRDPL;Financial_Markets
BLGFIDL;Financial_Markets
BLMBSLST;Financial_Markets
BLPARSEC;Financial_Markets
BLPBDEAL;Financial_Markets
BLPORRTI;Financial_Markets
BLUSADL;Financial_Markets
BLWARBO;Financial_Markets
BPOR5;Financial_Markets
BPOR6;Financial_Markets
BPORM;Financial_Markets
BPORS;Financial_Markets
BPOT5;Financial_Markets
BPOTO;Financial_Markets
BPRD5;Financial_Markets
BPRDA;Financial_Markets
BPRDO;Financial_Markets
BPRDX;Financial_Markets
BREDA;Financial_Markets
BREDM;Financial_Markets
BREDO;Financial_Markets
BREDX;Financial_Markets
BREP1;Financial_Markets
BREPM;Financial_Markets
BREPO;Financial_Markets
BRPIO;Financial_Markets
BSPIM;Financial_Markets
BSPIO;Financial_Markets
BSWC5;Financial_Markets
BSWCM;Financial_Markets
BSWS5;Financial_Markets
BUCHGISIN;Financial_Markets
BUDELCON;Core_Banking
BUDELLIQ;Core_Banking
BUDLYABS;Financial_Markets
BUDLYCLU;Financial_Markets
BUDLYMBS;Financial_Markets
BUDLYMBSYD;Financial_Markets
BUEURACC;Financial_Markets
BUEURCNV;Financial_Markets
BUEURLIQ;Financial_Markets
BUEURREC;Financial_Markets
BUINTACC2;Financial_Markets
BUINTACCR;Financial_Markets
BUMBSPOOL;Financial_Markets
BUMKSWBAT;Financial_Markets
BUMKSWIFT;Financial_Markets
BUMLYACRBO;Financial_Markets
BUMLYMBS;Financial_Markets
BUMLYTRD;Financial_Markets
BUMRGISS;Financial_Markets
BUPOOLFAC;Financial_Markets
BUPRCLOAD;Financial_Markets
BUUPDBDLTO;Financial_Markets
BUUPDBNDSN;Financial_Markets
CBFM5;Core_Banking
CBFMO;Core_Banking
CC3PL;Lending
CC3PM;Lending
CC3PO;Lending
CCBRO;Lending
CCDI5;Lending
CCDIL;Lending
CCDIS;Lending
CCFPO;Lending
CCGR5;Lending
CCGRL;Lending
CCGRS;Lending
CCIIA;Lending
CCIIC;Lending
CCMCC;Lending
CCME5;Lending
CCMH1;Lending
CCMH4;Lending
CCMH5;Lending
CCMHA;Lending
CCMHC;Lending
CCMHL;Lending
CCMHO;Lending
CCMIC;Lending
CCOCL;Core_Banking
CCOCM;Lending
CCOCO;Core_Banking
CCOM5;Lending
CCOML;Lending
CCOMS;Lending
CCORL;Lending
CCORM;Lending
CCORO;Lending
CCPIA;Lending
CCPOA;Lending
CCRE1;Lending
CCRE5;Lending
CCREO;Lending
CCRXO;Core_Banking
CCTPC;Core_Banking
CCUSC;Financial_Markets
CCUSO;Financial_Markets
CDFAO;Lending
CDIAL;Lending
CDIAO;Lending
CEXP5;Lending
CEXPS;Lending
CEXRM;Core_Banking
CEXRO;Core_Banking
CEXSM;Lending
CEXSO;Lending
CFA1M;Lending
CFA2C;Lending
CFA2M;Lending
CFAC1;Lending
CFAC2;Lending
CFAC5;Lending
CFAC6;Lending
CFACC;Lending
CFACL;Lending
CFACO;Lending
CFACR;Lending
CFACS;Lending
CFAI5;Lending
CFAIA;Lending
CFAIO;Lending
CFARM;Lending
CFAT1;Lending
CFAT5;Lending
CFATO;Core_Banking
CFCRO;Lending
CFDD5;Lending
CFDDC;Lending
CFDDL;Lending
CFDDO;Lending
CFFEM;Lending
