Program_Name;IFS_7P_Module;IFS_4P_Module;ProgramType
ATADM;Account_Management;Core_Banking;I
ATADO;Account_Management;Core_Banking;I
ATAH5;Account_Management;Core_Banking;I
ATAHL;Account_Management;Core_Banking;I
ATAHS;Account_Management;Core_Banking;I
ATAX5;Account_Management;Core_Banking;I
ATAXL;Account_Management;Core_Banking;I
ATAXM;Account_Management;Core_Banking;I
ATAXO;Account_Management;Core_Banking;I
ATDC4;Account_Management;Core_Banking;I
ATDCL;MDM_Management;Core_Banking;I
ATDCS;TECHNICAL_KERNEL;Core_Banking;I
ATEC1;TECHNICAL_KERNEL;Core_Banking;I
ATECC;Account_Management;Core_Banking;I
ATLLM;Account_Management;Core_Banking;I
ATMPO;Account_Management;Core_Banking;I
ATRC5;Account_Management;Core_Banking;I
ATRCA;Account_Management;Core_Banking;I
ATRCL;Finance;Core_Banking;I
ATRCS;Finance;Core_Banking;I
ATRDO;Account_Management;Core_Banking;I
ATRT5;Finance;Core_Banking;I
ATRTL;Finance;Core_Banking;I
ATRTS;Finance;Core_Banking;I
ATXC5;Finance;Core_Banking;I
ATXCL;Account_Management;Core_Banking;I
ATXCM;Account_Management;Core_Banking;I
ATXCO;Account_Management;Core_Banking;I
AUACRRPR;Finance;Core_Banking;R
AUACRRPR01;Finance;Core_Banking;R
AUACRRPR02;Finance;Core_Banking;R
AUATRCSDUP;Finance;Core_Banking;R
AUATRDODEL;Account_Management;Core_Banking;R
AUAUDINVCE;Account_Management;Core_Banking;R
AUBA1DEL;Finance;Core_Banking;R
AUBASS;Finance;Core_Banking;R
AUBATDTE;Finance;Core_Banking;R
AUBKEAIS;TECHNICAL_KERNEL;Core_Banking;R
AUBKEFOLRT;Account_Management;Core_Banking;R
AUBKEGEN;Account_Management;Core_Banking;R
AUBKEGENRT;Account_Management;Core_Banking;R
AUBKEGENRV;Account_Management;Core_Banking;R
AUBKELIS;Account_Management;Core_Banking;R
AUCHACAL;Account_Management;Core_Banking;R
AUCHASTD;Account_Management;Core_Banking;R
AUCHKCAT;Account_Management;Core_Banking;R
AUCLNADETS;Account_Management;Core_Banking;R
AUCLNHVB;Account_Management;Core_Banking;R
AUCLSACC;Account_Management;Core_Banking;R
AUCLSACC1;Account_Management;Core_Banking;R
AUCLSNOS;Account_Management;Core_Banking;R
AUCNVACC;UNUSED;Core_Banking;R
AUCNVACCR;UNUSED;Core_Banking;R
AUCNVADETS;UNUSED;Core_Banking;R
AUCNVLCCYS;MDM_Management;Core_Banking;R
AUCNVLOC;MDM_Management;Core_Banking;R
AUCOVCAL;Account_Management;Core_Banking;R
AUCRADV;Account_Management;Core_Banking;R
AUCROSSEXR;TECHNICAL_KERNEL;Core_Banking;R
AUCTPSHN;TECHNICAL_KERNEL;Core_Banking;R
AUCTPSHN2;TECHNICAL_KERNEL;Core_Banking;R
AUDACBAL;Account_Management;Core_Banking;R
AUDELGRID;Account_Management;Core_Banking;R
AUDELICIY;MDM_Management;Core_Banking;R
AUDLLTAT;Finance;Core_Banking;R
AUDRMACC;Finance;Core_Banking;R
AUDTEASP;Finance;Core_Banking;R
AUEOYPOSE;Finance;Core_Banking;R
AUEURACC;Account_Management;Core_Banking;R
AUEURPOL0;Finance;Core_Banking;R
AUEURPOL1;Account_Management;Core_Banking;R
AUEURPOL2;Finance;Core_Banking;R
AUEURPOL3;Finance;Core_Banking;R
AUEXRASP;TECHNICAL_KERNEL;Core_Banking;R
AUEXRDEV;TECHNICAL_KERNEL;Core_Banking;R
AUFCMJAN;Finance;Core_Banking;R
AUFOLSET0;Finance;Core_Banking;R
AUGXACC;Finance;Core_Banking;R
