Program_Name;Module_Name
ALMRGGAL;TECHNICAL_KERNEL
ALMRGGAL;TECHNICAL_KERNEL
ALMVTFUT;TECHNICAL_KERNEL
ALMVTFUT;TECHNICAL_KERNEL
ALMVTREP1;TECHNICAL_KERNEL
ALMVTREP1;TECHNICAL_KERNEL
ALMVTREP2;TECHNICAL_KERNEL
ALMVTREP2;TECHNICAL_KERNEL
ALMVTREP3;TECHNICAL_KERNEL
ALMVTREP3;TECHNICAL_KERNEL
ALMVTREP4;TECHNICAL_KERNEL
ALMVTREP4;TECHNICAL_KERNEL
ALMVTREPI;TECHNICAL_KERNEL
ALMVTREPIT;TECHNICAL_KERNEL
ALMVTREPIT;TECHNICAL_KERNEL
ALNDM;Finance
ALNOSFXPOS;TECHNICAL_KERNEL
ALNOSFXPOS;TECHNICAL_KERNEL
ALOVDETS;TECHNICAL_KERNEL
ALPORBSH;TECHNICAL_KERNEL
ALPORBSH;TECHNICAL_KERNEL
ALRBRCHK;TECHNICAL_KERNEL
ALRBRCHK;TECHNICAL_KERNEL
ALRBRO;TECHNICAL_KERNEL
ALRBRO;TECHNICAL_KERNEL
ALRESHIS;TECHNICAL_KERNEL
ALRESHIS;TECHNICAL_KERNEL
ALROOTBKT;TECHNICAL_KERNEL
ALROOTBKT;TECHNICAL_KERNEL
ALSDTAXAUT;TECHNICAL_KERNEL
ALSDTAXAUT;TECHNICAL_KERNEL
ALSPCDTAUT;TECHNICAL_KERNEL
ALSPCDTAUT;TECHNICAL_KERNEL
ALTABABSL;TECHNICAL_KERNEL
ALTLLCNV;TECHNICAL_KERNEL
ALTLLCNV;TECHNICAL_KERNEL
ALVERPL;TECHNICAL_KERNEL
ALVERPL;TECHNICAL_KERNEL
AMDCC;Account_Management
AMDCC;Finance
AMDCF;Finance
AMDCG;Finance
AMDCH;Finance
ARBRM;Finance
ARCDM;Finance
AROTM;Finance
ASTDM;Finance
AUACRRPR;TECHNICAL_KERNEL
AUACRRPR;TECHNICAL_KERNEL
AUACRRPR01;TECHNICAL_KERNEL
AUACRRPR01;TECHNICAL_KERNEL
AUACRRPR02;TECHNICAL_KERNEL
AUACRRPR02;TECHNICAL_KERNEL
AUATRCSDUP;TECHNICAL_KERNEL
AUBA1DEL;TECHNICAL_KERNEL
AUBA1DEL;TECHNICAL_KERNEL
AUBASS;TECHNICAL_KERNEL
AUBASS;TECHNICAL_KERNEL
AUBATDTE;TECHNICAL_KERNEL
AUBATDTE;TECHNICAL_KERNEL
AUCHKCAT;TECHNICAL_KERNEL
AUCLSACC1;TECHNICAL_KERNEL
AUCNVADETS;TECHNICAL_KERNEL
AUCNVADETS;TECHNICAL_KERNEL
AUDELGRID;TECHNICAL_KERNEL
AUDELGRID;TECHNICAL_KERNEL
AUDLLTAT;TECHNICAL_KERNEL
AUDLLTAT;TECHNICAL_KERNEL
AUDRMACC;TECHNICAL_KERNEL
AUDRMACC;TECHNICAL_KERNEL
AUDTEASP;TECHNICAL_KERNEL
AUDTEASP;TECHNICAL_KERNEL
AUEOYPOSE;TECHNICAL_KERNEL
AUEURPOL0;TECHNICAL_KERNEL
AUEURPOL0;TECHNICAL_KERNEL
AUEURPOL2;TECHNICAL_KERNEL
AUEURPOL2;TECHNICAL_KERNEL
AUEURPOL3;TECHNICAL_KERNEL
AUEURPOL3;TECHNICAL_KERNEL
AUEXRDEV;TECHNICAL_KERNEL
AUEXRDEV;TECHNICAL_KERNEL
AUFCMJAN;TECHNICAL_KERNEL
AUFCMJAN;TECHNICAL_KERNEL
AUFOLSET0;TECHNICAL_KERNEL
AUGXACC;Account_Management
AUGXACC;TECHNICAL_KERNEL
AUGXACR;Account_Management
AUGXACR;TECHNICAL_KERNEL
AUGXACR;TECHNICAL_KERNEL
AUGXBUD;Account_Management
AUGXBUD;TECHNICAL_KERNEL
AUGXBUD;TECHNICAL_KERNEL
AUGXPRE;Account_Management
AUGXPRE;TECHNICAL_KERNEL
AULDACGTAB;TECHNICAL_KERNEL
AULDACGTAB;TECHNICAL_KERNEL
AULDBIL;TECHNICAL_KERNEL
AULDBIL;TECHNICAL_KERNEL
AULOADFOL;TECHNICAL_KERNEL
AULOADFOL;TECHNICAL_KERNEL
AULOCDET;Finance
