Table;C;R;U;D;Program
DMSTO;;R;;;DIOGC;
PRSNL;;R;U;;DIOGC;
DSTAO;C;;;;DIOGC;
GMSGS;;R;;;DIOGC;
LCIYS;;R;;;DIOGC;
GPARO;;R;;;DIOGC;
LTARO;;R;;;DIOGC;
INOSO;;R;;;DIOGC;
LCBNS;;R;;;DIOGC;
LPRDS;;R;;;DIOGC;
LCORO;;R;;;DIOGC;
LCSTS;;R;;;DIOGC;
DEFIN;;R;;;DIOGC;
DCNDO;;R;;;DIOGC;
DPBDO;;R;U;;DIOGC;
DIPTO;C;R;U;;DIOGC;
DPTRL;;R;U;;DIOGC;
DPTRO;;R;U;;DIOGC;
LBRAS;;R;;;DIOGC;
AASPS;;R;;;DIOGC;
LCCYS;;R;;;DIOGC;
DBATO;;R;;;DIOGC;
LPHYS;;R;;;DIOGC;
ICNFS;;R;;;DIOGC;
LELCS;;R;;;DIOGC;
LPSNS;;R;;;DIOGC;
ASPAS;;R;;;DIOGC;
ADETS;;R;;;DIOGC;
GCNVO;;R;;;DIOGC;
DDETO;C;R;;;DIOGC;
REFFL;;R;;;ALBOE052;
RPSCH;C;R;U;;ALBOE052;
SECUR;;R;;;ALBOE052;
AASPS;;R;;;ALBOE052;
RSTRT;C;R;U;;ALBOE052;
PRSNL;;R;;;ALBOE052;
PRNTR;;R;;;ALBOE052;
RPDEF;;R;;;ALBOE052;
LPHYS;;R;;;ALBOE052;
LRCES;;R;;;ALBOE052;
GMSGS;;R;;;ALBOE052;
LCCYS;;R;;;ALBOE052;
AMVTO;;R;;;ALBOE052;
LPRDS;;R;;;ALBOE052;
ITLDO;;R;;;ALBOE052;
IFRAO;;R;;;ALBOE052;
LCRYS;;R;;;ALBOE052;
LBRAS;;R;;;ALBOE052;
LBGRS;;R;;;ALBOE052;
ADETS;;R;;;ALBOE052;
ABA1S;;R;;;ALBOE052;
LCBNS;;R;;;ALBOE052;
LCTPS;;R;;;ALBOE052;
GMSGS;;R;;;GP-098GET-NOSTRO;
LCCCS;;R;;;GP-098GET-NOSTRO;
REFFL;;R;;;GP-098GET-NOSTRO;
INOSO;;R;;;GP-098GET-NOSTRO;
LCCYS;;R;;;GP-098GET-NOSTRO;
ACLOG;;R;U;;IRFRM;
REFFL;;R;;;IRFRM;
GSEMO;;R;;;IRFRM;
ICNFS;;R;;;IRFRM;
GMONO;C;;;;IRFRM;
LHOLO;;R;;;IRFRM;
PRSNL;;R;U;;IRFRM;
SECUR;;R;;;IRFRM;
GMSGS;;R;;;IRFRM;
DEFIN;;R;;;IRFRM;
IRFRO;C;R;U;D;IRFRM;
LCCYS;;R;;;IRFRM;
IRFRL;C;;;;IRFRM;
AASPS;;R;;;IRFRM;
REFFL;;R;;;CLSHRFEE;
RPSCH;;R;U;;CLSHRFEE;
RSTRT;C;R;U;;CLSHRFEE;
PRSNL;;R;;;CLSHRFEE;
PRNTR;;R;;;CLSHRFEE;
RPDEF;;R;;;CLSHRFEE;
LPHYS;;R;;;CLSHRFEE;
LRCES;;R;;;CLSHRFEE;
CEXRO;;R;;;CLSHRFEE;
CMRGO;;R;;;CLSHRFEE;
AEXRS;;R;;;CLSHRFEE;
IERBS;;R;;;CLSHRFEE;
ACVRO;;R;;;CLSHRFEE;
AASPS;;R;;;CLSHRFEE;
CCUSO;;R;;;CLSHRFEE;
LHOLO;;R;;;CLSHRFEE;
LCCYS;;R;;;CLSHRFEE;
CSHAO;;R;;;CLSHRFEE;
LPSNS;;R;;;CLSHRFEE;
REFFL;;R;;;ILPRPMTSTA;
RPSCH;C;R;U;;ILPRPMTSTA;
SECUR;;R;;;ILPRPMTSTA;
AASPS;;R;;;ILPRPMTSTA;
RSTRT;C;R;U;;ILPRPMTSTA;
PRSNL;;R;;;ILPRPMTSTA;
PRNTR;;R;;;ILPRPMTSTA;
RPDEF;;R;;;ILPRPMTSTA;
GMSGS;;R;;;ILPRPMTSTA;
LPRDS;;R;;;ILPRPMTSTA;
LPHYS;;R;;;ILPRPMTSTA;
ABA1S;;R;;;ILPRPMTSTA;
IFXPO;;R;;;ILPRPMTSTA;
ILDPO;;R;;;ILPRPMTSTA;
IFRPO;;R;;;ILPRPMTSTA;
IOPPO;;R;;;ILPRPMTSTA;
IRSPO;;R;;;ILPRPMTSTA;
IFXCO;;R;;;ILPRPMTSTA;
IGLDO;;R;;;ILPRPMTSTA;
ITLDO;;R;;;ILPRPMTSTA;
IFRAO;;R;;;ILPRPMTSTA;
IOPTS;;R;;;ILPRPMTSTA;
IGIRO;;R;;;ILPRPMTSTA;
ITIRO;;R;;;ILPRPMTSTA;
LCCYS;;R;;;ILPRPMTSTA;
IBATO;;R;;;ILPRPMTSTA;
LRCES;;R;;;ILPRPMTSTA;
ACLOG;;R;U;;RPSEC;
GSEMO;;R;;;RPSEC;
ICNFS;;R;;;RPSEC;
GMONO;C;;;;RPSEC;
PRSNL;;R;U;;RPSEC;
GMSGS;;R;;;RPSEC;
AASPS;;R;;;RPSEC;
DEFIN;;R;;;RPSEC;
RPDEF;;R;U;;RPSEC;
SECUR;C;R;U;;RPSEC;
REFFL;;R;;;RPSEC;
ACLOG;;R;U;;DIOG1;
REFFL;;R;;;DIOG1;
GSEMO;;R;;;DIOG1;
ICNFS;;R;;;DIOG1;
GMONO;C;;;;DIOG1;
SECUR;;R;;;DIOG1;
PRSNL;;R;U;;DIOG1;
GMSGS;;R;;;DIOG1;
AASPS;;R;;;DIOG1;
DEFIN;;R;;;DIOG1;
DIPTL;;R;;;DIOG1;
DIPTO;;R;;;DIOG1;
DPTRO;;R;;;DIOG1;
DPTRL;;R;;;DIOG1;
LCCYS;;R;;;DIOG1;
DPBDO;;R;;;DIOG1;
REFFL;;R;;;LSUP4;
ACLOG;;R;U;;LSUP4;
GSEMO;;R;;;LSUP4;
ICNFS;;R;;;LSUP4;
GMONO;C;;;;LSUP4;
PRSNL;;R;U;;LSUP4;
SECUR;;R;;;LSUP4;
GMSGS;;R;;;LSUP4;
AASPS;;R;;;LSUP4;
DEFIN;;R;;;LSUP4;
LSUPS;;R;;;LSUP4;
LPHYS;;R;;;LSUP4;
REFFL;;R;;;DLBALCHECK;
RPSCH;C;R;U;;DLBALCHECK;
SECUR;;R;;;DLBALCHECK;
RSTRT;C;R;U;;DLBALCHECK;
PRSNL;;R;;;DLBALCHECK;
PRNTR;;R;;;DLBALCHECK;
RPDEF;;R;;;DLBALCHECK;
LPHYS;;R;;;DLBALCHECK;
LRCES;;R;;;DLBALCHECK;
CEXRO;;R;;;DLBALCHECK;
CMRGO;;R;;;DLBALCHECK;
AEXRS;;R;;;DLBALCHECK;
IERBS;;R;;;DLBALCHECK;
AASPS;;R;;;DLBALCHECK;
ACVRO;;R;;;DLBALCHECK;
LCCYS;;R;;;DLBALCHECK;
DIPTO;;R;;;DLBALCHECK;
ADETS;;R;;;DLBALCHECK;
LCBNS;;R;;;DLBALCHECK;
DSLVO;;R;;;DLBALCHECK;
DMSTO;;R;;;DLBALCHECK;
AMVTO;;R;;;DLBALCHECK;
PRSNL;;R;;;GP-DIRECT-TO-MENU;
IIFXO;;R;;;IP-033BGEAMTCHK;
ACLOG;;R;U;;IRFR5;
REFFL;;R;;;IRFR5;
GSEMO;;R;;;IRFR5;
ICNFS;;R;;;IRFR5;
GMONO;C;;;;IRFR5;
SECUR;;R;;;IRFR5;
PRSNL;;R;U;;IRFR5;
GMSGS;;R;;;IRFR5;
AASPS;;R;;;IRFR5;
DEFIN;;R;;;IRFR5;
IRFRO;;R;;;IRFR5;
AASPS;;R;;;GR-002REPFOOTING;
RSTRT;;R;U;;GR-002REPFOOTING;
RPSCH;;R;U;;GR-002REPFOOTING;
RPSCH;C;R;U;;LLPMBRAAUT;
SECUR;;R;;;LLPMBRAAUT;
AASPS;;R;;;LLPMBRAAUT;
RSTRT;C;R;U;;LLPMBRAAUT;
PRSNL;;R;;;LLPMBRAAUT;
PRNTR;;R;;;LLPMBRAAUT;
RPDEF;;R;;;LLPMBRAAUT;
LPHYS;;R;;;LLPMBRAAUT;
LRCES;;R;;;LLPMBRAAUT;
GMSGS;;R;;;LLPMBRAAUT;
LPMML;;R;;D;LLPMBRAAUT;
LRCLL;;R;;D;LLPMBRAAUT;
LRCEL;;R;;D;LLPMBRAAUT;
LPRCL;;R;;D;LLPMBRAAUT;
ADSNL;;R;;D;LLPMBRAAUT;
ARCDL;;R;;D;LLPMBRAAUT;
LBGRL;;R;;D;LLPMBRAAUT;
LBRAL;;R;;D;LLPMBRAAUT;
REFFL;;R;;;LLPMBRAAUT;
REFFL;;R;;;CLLDCMDEAL;
RPSCH;;R;U;;CLLDCMDEAL;
AASPS;;R;;;CLLDCMDEAL;
RSTRT;C;R;U;;CLLDCMDEAL;
PRSNL;;R;;;CLLDCMDEAL;
PRNTR;;R;;;CLLDCMDEAL;
RPDEF;;R;;;CLLDCMDEAL;
LRCES;;R;;;CLLDCMDEAL;
CCMHO;;R;;;CLLDCMDEAL;
LPHYS;;R;;;CLLDCMDEAL;
LPRDS;;R;;;CLLDCMDEAL;
LCTPS;;R;;;CLLDCMDEAL;
AEXRS;;R;;;CLLDCMDEAL;
LCCYS;;R;;;CLLDCMDEAL;
CMTLO;;R;;;CLLDCMDEAL;
CFACS;;R;;;CLLDCMDEAL;
ACLOG;;R;U;;CMHI5;
GSEMO;;R;;;CMHI5;
ICNFS;;R;;;CMHI5;
GMONO;C;;;;CMHI5;
SECUR;;R;;;CMHI5;
PRSNL;;R;U;;CMHI5;
GMSGS;;R;;;CMHI5;
AASPS;;R;;;CMHI5;
DEFIN;;R;;;CMHI5;
REFFL;;R;;;CMHI5;
LPRDS;;R;;;CMHI5;
LRCES;;R;;;CMHI5;
LPSNS;;R;;;CMHI5;
ABA1S;;R;;;CMHI5;
CMHIO;;R;;;CMHI5;
REFFL;;R;;;LSUPS;
ACLOG;;R;U;;LSUPS;
GSEMO;;R;;;LSUPS;
ICNFS;;R;;;LSUPS;
GMONO;C;;;;LSUPS;
SECUR;;R;;;LSUPS;
PRSNL;;R;U;;LSUPS;
GMSGS;;R;;;LSUPS;
AASPS;;R;;;LSUPS;
DEFIN;;R;;;LSUPS;
LSUPS;;R;;;LSUPS;
LPHYS;;R;;;LSUPS;
LPSNS;;R;;;LSUPS;
XGBAO;;R;;;LSUPS;
AGEXS;;R;;;LSUPS;
LSUPL;C;;;;LSUPS;
ACLOG;;R;U;;CMHIA;
GSEMO;;R;;;CMHIA;
GMONO;C;;;;CMHIA;
CEXRO;;R;;;CMHIA;
CMRGO;;R;;;CMHIA;
AEXRS;;R;;;CMHIA;
IERBS;;R;;;CMHIA;
ACVRO;;R;;;CMHIA;
SECUR;;R;;;CMHIA;
LHOLO;;R;;;CMHIA;
PRSNL;;R;U;;CMHIA;
GMSGS;;R;;;CMHIA;
AASPS;;R;;;CMHIA;
DEFIN;;R;;;CMHIA;
CCFPO;C;R;U;;CMHIA;
CPTIL;C;;;;CMHIA;
CMTLL;C;;;;CMHIA;
REFFL;;R;U;;CMHIA;
CMHIO;C;R;;;CMHIA;
LCCYS;;R;;;CMHIA;
CMTIO;C;R;;;CMHIA;
IIPIO;C;R;;;CMHIA;
CCMHO;;R;;;CMHIA;
LCBNS;;R;;;CMHIA;
ABA1S;;R;;;CMHIA;
LRCES;;R;;;CMHIA;
ICNFS;;R;;;CMHIA;
LPRFS;;R;;;CMHIA;
LBROS;;R;;;CMHIA;
IINTO;;R;;;CMHIA;
LPRDS;;R;;;CMHIA;
IGLDO;;R;;;CMHIA;
ITLDO;;R;;;CMHIA;
CMTLO;;R;;;CMHIA;
ADETS;;R;;;CMHIA;
AMVTO;;R;;;CMHIA;
REFFL;;R;;;ALDLCBITLC;
RPSCH;;R;U;;ALDLCBITLC;
AASPS;;R;;;ALDLCBITLC;
RSTRT;C;R;U;;ALDLCBITLC;
PRSNL;;R;;;ALDLCBITLC;
PRNTR;;R;;;ALDLCBITLC;
RPDEF;;R;;;ALDLCBITLC;
LPHYS;;R;;;ALDLCBITLC;
LRCES;;R;;;ALDLCBITLC;
CFACS;;R;;;ALDLCBITLC;
LCBNS;;R;;;ALDLCBITLC;
LCCYS;;R;;;ALDLCBITLC;
LPRCO;;R;;;ALDLCBITLC;
CEXSO;;R;;;ALDLCBITLC;
LCTSO;;R;;;ALDLCBITLC;
CSECS;;R;;;ALDLCBITLC;
GCNVO;C;R;;;ALDLCBITLC;
ACLOG;;R;U;;DIOEC;
REFFL;C;R;U;;DIOEC;
LELCS;;R;;;DIOEC;
DCBMO;;R;;;DIOEC;
DIPTL;C;R;;;DIOEC;
LCTPS;;R;;;DIOEC;
GSEMO;;R;;;DIOEC;
ICNFS;;R;;;DIOEC;
GMONO;C;;;;DIOEC;
CEXRO;;R;;;DIOEC;
CMRGO;;R;;;DIOEC;
AEXRS;;R;;;DIOEC;
IERBS;;R;;;DIOEC;
AMVTO;;R;;;DIOEC;
ACVRO;;R;;;DIOEC;
ABA1S;;R;;;DIOEC;
DSLVO;;R;;;DIOEC;
SECUR;;R;;;DIOEC;
RPDEF;;R;;;DIOEC;
PRNTR;;R;;;DIOEC;
RPSCH;C;;;;DIOEC;
LHOLO;;R;;;DIOEC;
CFACS;;R;;;DIOEC;
CRTRO;;R;;;DIOEC;
APPNO;;R;;;DIOEC;
LPRDS;;R;;;DIOEC;
LCTSO;;R;;;DIOEC;
DCPOO;;R;;;DIOEC;
DMSTO;;R;;;DIOEC;
LPSNS;;R;;;DIOEC;
PRSNL;;R;U;;DIOEC;
DSTAO;C;;;;DIOEC;
GMSGS;;R;;;DIOEC;
DEFIN;;R;;;DIOEC;
DIPTO;C;R;U;;DIOEC;
DPTRO;;R;;;DIOEC;
DPTRL;;R;;;DIOEC;
GCNVO;;R;;;DIOEC;
LCBNS;;R;;;DIOEC;
LCCYS;;R;;;DIOEC;
LBRAS;;R;;;DIOEC;
AASPS;;R;;;DIOEC;
LCRYS;;R;;;DIOEC;
LCIYS;;R;;;DIOEC;
ADETS;;R;;;DIOEC;
ACLOG;;R;U;;DIOEF;
LCRYS;;R;;;DIOEF;
DCBMO;;R;;;DIOEF;
DPBDO;;R;;;DIOEF;
DIPTL;C;;;;DIOEF;
LCTPS;;R;;;DIOEF;
GSEMO;;R;;;DIOEF;
GMONO;C;;;;DIOEF;
CEXRO;;R;;;DIOEF;
CMRGO;;R;;;DIOEF;
AEXRS;;R;;;DIOEF;
IERBS;;R;;;DIOEF;
AMVTO;;R;;;DIOEF;
DSLVO;;R;;;DIOEF;
ACVRO;;R;;;DIOEF;
SECUR;;R;;;DIOEF;
DCNTO;;R;;;DIOEF;
DCNDO;;R;;;DIOEF;
CFACS;;R;;;DIOEF;
CRTRO;;R;;;DIOEF;
APPNO;;R;;;DIOEF;
LCTSO;;R;;;DIOEF;
DCPOO;;R;;;DIOEF;
DMSTO;;R;;;DIOEF;
LHOLO;;R;;;DIOEF;
ADETS;;R;U;;DIOEF;
LPRDS;;R;;;DIOEF;
PRSNL;;R;U;;DIOEF;
DPTRO;;R;;;DIOEF;
DPTRL;;R;;;DIOEF;
DSTAO;C;;;;DIOEF;
GMSGS;;R;;;DIOEF;
DEFIN;;R;;;DIOEF;
ABA1S;;R;;;DIOEF;
DCTRO;C;R;;D;DIOEF;
ATXCO;;R;;;DIOEF;
DCONO;;R;;;DIOEF;
LELCS;;R;;;DIOEF;
LCIYS;;R;;;DIOEF;
DIPTO;;R;U;;DIOEF;
LCBNS;;R;;;DIOEF;
LCCYS;;R;;;DIOEF;
ICNFS;;R;;;DIOEF;
LBRAS;;R;;;DIOEF;
AASPS;;R;;;DIOEF;
LPSNS;;R;;;DIOEF;
REFFL;;R;;;DIOEF;
LPHYS;;R;;;DIOEF;
GCNVO;;R;;;DIOEF;
RPSCH;C;R;U;;ALBMBHOF;
RSTRT;C;R;U;;ALBMBHOF;
LPHYS;;R;;;ALBMBHOF;
LRCES;;R;;;ALBMBHOF;
CEXRO;;R;;;ALBMBHOF;
CMRGO;;R;;;ALBMBHOF;
AEXRS;;R;;;ALBMBHOF;
IERBS;;R;;;ALBMBHOF;
ACVRO;;R;;;ALBMBHOF;
PRSNL;;R;;;ALBMBHOF;
RPDEF;;R;U;;ALBMBHOF;
PRNTR;;R;;;ALBMBHOF;
GMSGS;;R;;;ALBMBHOF;
ABA1S;;R;;;ALBMBHOF;
APPNO;;R;;;ALBMBHOF;
LPRDS;;R;;;ALBMBHOF;
AASPS;;R;U;;ALBMBHOF;
REFFL;;R;U;;ALBMBHOF;
BDLGO;;R;;;ALBMBHOF;
BBOKS;;R;;;ALBMBHOF;
BISSO;;R;;;ALBMBHOF;
LPSNS;;R;;;ALBMBHOF;
LCRYS;;R;;;ALBMBHOF;
LCCYS;;R;;;ALBMBHOF;
ADETS;;R;;;ALBMBHOF;
LBRAS;;R;;;ALBMBHOF;
LCBNS;;R;;;ALBMBHOF;
LCTPS;;R;;;ALBMBHOF;
LCIYS;;R;;;ALBMBHOF;
AMVTO;;R;;;ALBMBHOF;
ADLGS;;R;;;ALBMBHOF;
SECUR;;R;;;ALBMBHOF;
REFFL;;R;;;ALHKMS01;
LBRAS;;R;;;ALHKMS01;
LBGRS;;R;;;ALHKMS01;
RPSCH;C;R;U;;ALHKMS01;
SECUR;;R;;;ALHKMS01;
AASPS;;R;;;ALHKMS01;
RSTRT;C;R;U;;ALHKMS01;
PRSNL;;R;;;ALHKMS01;
PRNTR;;R;;;ALHKMS01;
RPDEF;;R;;;ALHKMS01;
LPHYS;;R;;;ALHKMS01;
LRCES;;R;;;ALHKMS01;
LHOLO;;R;;;ALHKMS01;
GMSGS;;R;;;ALHKMS01;
LCCYS;;R;;;ALHKMS01;
ALGRS;;R;;;ALHKMS01;
ARBRO;;R;;;ALHKMS01;
ACLOG;;R;U;;CMHIC;
GSEMO;;R;;;CMHIC;
GMONO;C;;;;CMHIC;
CEXRO;;R;;;CMHIC;
CMRGO;;R;;;CMHIC;
AEXRS;;R;;;CMHIC;
IERBS;;R;;;CMHIC;
ACVRO;;R;;;CMHIC;
SECUR;;R;;;CMHIC;
LHOLO;;R;;;CMHIC;
PRSNL;;R;U;;CMHIC;
GMSGS;;R;;;CMHIC;
AASPS;;R;;;CMHIC;
DEFIN;;R;;;CMHIC;
CMHIO;C;R;U;;CMHIC;
CCMHO;;R;;;CMHIC;
LCCYS;;R;;;CMHIC;
CMTIO;;R;;;CMHIC;
LPRDS;;R;;;CMHIC;
ICNFS;;R;;;CMHIC;
IINTO;;R;;;CMHIC;
LRCES;;R;;;CMHIC;
CMTLO;;R;;;CMHIC;
LPRFS;;R;;;CMHIC;
REFFL;;R;;;CMHIC;
IGLDO;;R;;;CMHIC;
ADETS;;R;;;CMHIC;
LCBNS;;R;;;CMHIC;
ITLDO;;R;;;CMHIC;
AMVTO;;R;;;CMHIC;
ACLOG;;R;U;;CMHIF;
GSEMO;;R;;;CMHIF;
ICNFS;;R;;;CMHIF;
GMONO;C;;;;CMHIF;
SECUR;;R;;;CMHIF;
RPDEF;;R;;;CMHIF;
PRNTR;;R;;;CMHIF;
RPSCH;C;;;;CMHIF;
PRSNL;;R;U;;CMHIF;
GMSGS;;R;;;CMHIF;
DEFIN;;R;;;CMHIF;
CCFPO;C;R;U;;CMHIF;
INVMO;C;R;U;;CMHIF;
CPTIL;C;;;;CMHIF;
CMTLL;C;;;;CMHIF;
CCMHL;C;;;;CMHIF;
CCMHO;C;R;U;;CMHIF;
CMTLO;C;R;U;D;CMHIF;
CPTIO;C;R;U;D;CMHIF;
IIPIO;;R;U;;CMHIF;
CMHIO;;R;U;;CMHIF;
CMTIO;;R;U;;CMHIF;
LCCYS;;R;;;CMHIF;
IINTO;;R;;;CMHIF;
LRCES;;R;;;CMHIF;
REFFL;;R;;;CMHIF;
AASPS;;R;;;CMHIF;
LPRDS;;R;;;CMHIF;
RPSCH;C;R;U;;DUCORDSTSO;
SECUR;;R;;;DUCORDSTSO;
AASPS;;R;;;DUCORDSTSO;
RSTRT;C;R;U;;DUCORDSTSO;
PRSNL;;R;;;DUCORDSTSO;
PRNTR;;R;;;DUCORDSTSO;
RPDEF;;R;;;DUCORDSTSO;
LPHYS;;R;;;DUCORDSTSO;
LRCES;;R;;;DUCORDSTSO;
DIPTO;;R;U;;DUCORDSTSO;
DPTRL;;R;U;;DUCORDSTSO;
DPTRO;;R;U;;DUCORDSTSO;
DSTSO;;R;U;;DUCORDSTSO;
REFFL;;R;;;DUCORDSTSO;
RPSCH;C;R;U;;DLCUSMVTPT;
SECUR;;R;;;DLCUSMVTPT;
RSTRT;C;R;U;;DLCUSMVTPT;
PRSNL;;R;;;DLCUSMVTPT;
PRNTR;;R;;;DLCUSMVTPT;
RPDEF;;R;;;DLCUSMVTPT;
LPHYS;;R;;;DLCUSMVTPT;
LRCES;;R;;;DLCUSMVTPT;
DCTRO;;R;;;DLCUSMVTPT;
DCONO;;R;;;DLCUSMVTPT;
REFFL;;R;;;DLCUSMVTPT;
AMVTO;;R;;;DLCUSMVTPT;
LCCYS;;R;;;DLCUSMVTPT;
AASPS;;R;;;DLCUSMVTPT;
ADETS;;R;;;DLCUSMVTPT;
LPRDS;;R;;;DLCUSMVTPT;
ACLOG;;R;U;;CCPOA;
GSEMO;;R;;;CCPOA;
ICNFS;;R;;;CCPOA;
GMONO;C;;;;CCPOA;
CEXRO;;R;;;CCPOA;
CMRGO;;R;;;CCPOA;
AEXRS;;R;;;CCPOA;
IERBS;;R;;;CCPOA;
ACVRO;;R;;;CCPOA;
SECUR;;R;;;CCPOA;
LHOLO;;R;;;CCPOA;
LCCCS;;R;;;CCPOA;
INOSO;;R;;;CCPOA;
LPSNS;;R;;;CCPOA;
PRSNL;;R;U;;CCPOA;
GMSGS;;R;;;CCPOA;
DEFIN;;R;;;CCPOA;
AASPS;;R;;;CCPOA;
ADETS;;R;;;CCPOA;
AIBRO;;R;;;CCPOA;
ABA1S;;R;;;CCPOA;
LCBNS;;R;;;CCPOA;
LPHYS;;R;;;CCPOA;
IPMTO;;R;;;CCPOA;
LCRYS;;R;;;CCPOA;
LELCS;;R;;;CCPOA;
CCMHO;;R;U;;CCPOA;
CMTLO;C;R;U;;CCPOA;
CPTIO;C;R;U;;CCPOA;
LCCYS;;R;;;CCPOA;
LBRAS;;R;;;CCPOA;
LRESS;;R;;;CCPOA;
REFFL;;R;;;CCPOA;
ACLOG;;R;U;;CFDDC;
REFFL;;R;;;CFDDC;
GSEMO;;R;;;CFDDC;
ICNFS;;R;;;CFDDC;
GMONO;C;;;;CFDDC;
SECUR;;R;;;CFDDC;
PRSNL;;R;U;;CFDDC;
GMSGS;;R;;;CFDDC;
DEFIN;;R;;;CFDDC;
CFACS;;R;U;;CFDDC;
CFATO;;R;U;;CFDDC;
CFDDO;C;R;U;D;CFDDC;
CFFEO;;R;U;;CFDDC;
LCBNS;;R;;;CFDDC;
LPHYS;;R;;;CFDDC;
LCCYS;;R;;;CFDDC;
LBRAS;;R;;;CFDDC;
CREPO;;R;;;CFDDC;
AASPS;;R;;;CFDDC;
CEXRO;;R;;;GP-026AEVTO;
CMRGO;;R;;;GP-026AEVTO;
AEXRS;;R;;;GP-026AEVTO;
IERBS;;R;;;GP-026AEVTO;
AASPS;;R;;;GP-026AEVTO;
ACVRO;;R;;;GP-026AEVTO;
LCCYS;;R;;;GP-026AEVTO;
ATRTS;;R;;;GP-026AEVTO;
AIBRO;;R;;;GP-026AEVTO;
AEVTO;C;;;;GP-026AEVTO;
LBRAS;;R;;;GP-026AEVTO;
REFFL;;R;;;ALRBRCHK;
RPSCH;C;R;U;;ALRBRCHK;
AASPS;;R;;;ALRBRCHK;
RSTRT;C;R;U;;ALRBRCHK;
PRSNL;;R;;;ALRBRCHK;
PRNTR;;R;;;ALRBRCHK;
RPDEF;;R;;;ALRBRCHK;
LPHYS;;R;;;ALRBRCHK;
LRCES;;R;;;ALRBRCHK;
GMSGS;;R;;;ALRBRCHK;
ALGRS;;R;U;;ALRBRCHK;
ARBRL;;R;;;ALRBRCHK;
ARBRO;;R;;;ALRBRCHK;
SECUR;;R;;;ALRBRCHK;
AASPS;;R;;;GUSTARTISW;
REFFL;;R;;;GUSTARTISW;
RPDEF;;R;;;GUSTARTISW;
SECUR;;R;;;GUSTARTISW;
RPSCH;C;;;;GUSTARTISW;
REFFL;;R;;;ILOUTCCYPA;
LBRAS;;R;;;ILOUTCCYPA;
LBGRS;;R;;;ILOUTCCYPA;
RPSCH;C;R;U;;ILOUTCCYPA;
SECUR;;R;;;ILOUTCCYPA;
AASPS;;R;;;ILOUTCCYPA;
RSTRT;C;R;U;;ILOUTCCYPA;
PRSNL;;R;;;ILOUTCCYPA;
PRNTR;;R;;;ILOUTCCYPA;
RPDEF;;R;;;ILOUTCCYPA;
LPHYS;;R;;;ILOUTCCYPA;
LRCES;;R;;;ILOUTCCYPA;
GMSGS;;R;;;ILOUTCCYPA;
LPSNS;;R;;;ILOUTCCYPA;
LCCYS;;R;;;ILOUTCCYPA;
IOPTS;;R;;;ILOUTCCYPA;
REFFL;;R;;;CLCPSEC;
RPSCH;C;R;U;;CLCPSEC;
SECUR;;R;;;CLCPSEC;
AASPS;;R;;;CLCPSEC;
RSTRT;C;R;U;;CLCPSEC;
PRSNL;;R;;;CLCPSEC;
PRNTR;;R;;;CLCPSEC;
RPDEF;;R;;;CLCPSEC;
LPHYS;;R;;;CLCPSEC;
LRCES;;R;;;CLCPSEC;
GMSGS;;R;;;CLCPSEC;
LPRDS;;R;;;CLCPSEC;
CSECS;;R;;;CLCPSEC;
CSECL;;R;;;CLCPSEC;
REFFL;;R;;;BUDELLIQ;
RPSCH;;R;U;;BUDELLIQ;
RSTRT;C;R;U;;BUDELLIQ;
PRSNL;;R;;;BUDELLIQ;
PRNTR;;R;;;BUDELLIQ;
RPDEF;;R;;;BUDELLIQ;
LPHYS;;R;;;BUDELLIQ;
LRCES;;R;;;BUDELLIQ;
CEXRO;;R;;;BUDELLIQ;
CMRGO;;R;;;BUDELLIQ;
AEXRS;;R;;;BUDELLIQ;
IERBS;;R;;;BUDELLIQ;
AASPS;;R;;;BUDELLIQ;
ACVRO;;R;;;BUDELLIQ;
BDLGL;;R;;D;BUDELLIQ;
BDLTO;;R;;;BUDELLIQ;
BISSO;;R;;;BUDELLIQ;
LBRAS;;R;;;BUDELLIQ;
LCCYS;;R;;;BUDELLIQ;
BBOKS;;R;;;BUDELLIQ;
BDLGO;;R;;;BUDELLIQ;
APPNO;;R;;;GLEASYSERV;
LPRDS;;R;;;GLEASYSERV;
LCBNS;;R;;;GLEASYSERV;
LPHYS;;R;;;GLEASYSERV;
DIPTO;;R;;;GLEASYSERV;
LPSNS;;R;;;GLEASYSERV;
AASPS;;R;;;GLEASYSERV;
LBRAS;;R;;;GLEASYSERV;
LCCYS;;R;;;GLEASYSERV;
ADETS;;R;;;GLEASYSERV;
LELCS;;R;;;GLEASYSERV;
LCIYS;;R;;;GLEASYSERV;
ASPAS;;R;;;GLEASYSERV;
DCTRO;;R;;;GLEASYSERV;
DSTAO;;R;;;GLEASYSERV;
DPTRL;;R;;;GLEASYSERV;
DPTRO;;R;;;GLEASYSERV;
LCRYS;;R;;;GLEASYSERV;
DSLVO;;R;;;GLEASYSERV;
REFFL;;R;;;GLEASYSERV;
AMVTO;;R;;;GLEASYSERV;
AADVO;;R;;;GLEASYSERV;
AHLBO;;R;;;GLEASYSERV;
AHVBO;;R;;;GLEASYSERV;
GRTPO;;R;;;GLEASYSERV;
REFFL;;R;;;AUCTPSHN2;
RPSCH;C;R;U;;AUCTPSHN2;
SECUR;;R;;;AUCTPSHN2;
AASPS;;R;;;AUCTPSHN2;
RSTRT;C;R;U;;AUCTPSHN2;
PRSNL;;R;;;AUCTPSHN2;
