Table;C;R;U;D;Program
GMSGS;;R;;;ALDLLCBRAT;
LPRDS;;R;;;ALDLLCBRAT;
AMVTO;;R;;;ALDLLCBRAT;
LCCYS;;R;;;ALDLLCBRAT;
REFFL;;R;;;ALDLLCBRAT;
ADETS;;R;;;ALDLLCBRAT;
LCBNS;;R;;;ALDLLCBRAT;
DPTRO;;R;;;ALDLLCBRAT;
DPTRL;;R;;;ALDLLCBRAT;
GMSGS;;R;;;GP-100-F72B;
REFFL;;R;;;ILCONSELSC;
LBGRS;;R;;;ILCONSELSC;
RPSCH;C;R;U;;ILCONSELSC;
SECUR;;R;;;ILCONSELSC;
AASPS;;R;;;ILCONSELSC;
RSTRT;C;R;U;;ILCONSELSC;
PRSNL;;R;;;ILCONSELSC;
PRNTR;;R;;;ILCONSELSC;
RPDEF;;R;;;ILCONSELSC;
LPHYS;;R;;;ILCONSELSC;
LRCES;;R;;;ILCONSELSC;
GMSGS;;R;;;ILCONSELSC;
LCCYS;;R;;;ILCONSELSC;
LPRDS;;R;;;ILCONSELSC;
LBRAS;;R;;;ILCONSELSC;
LCTPS;;R;;;ILCONSELSC;
ISIMO;;R;;;ILCONSELSC;
LBRAS;;R;;;IUCRECNF;
LBGRS;;R;;;IUCRECNF;
IBATO;C;R;U;;IUCRECNF;
RPSCH;C;R;U;;IUCRECNF;
RSTRT;C;R;U;;IUCRECNF;
LRCES;;R;;;IUCRECNF;
PRSNL;;R;;;IUCRECNF;
RPDEF;;R;;;IUCRECNF;
PRNTR;;R;;;IUCRECNF;
GMSGS;;R;;;IUCRECNF;
IRSCO;;R;U;;IUCRECNF;
ILDCO;;R;U;;IUCRECNF;
AASPS;;R;U;;IUCRECNF;
IFCSO;;R;U;;IUCRECNF;
IOPCO;;R;U;;IUCRECNF;
IFRCO;;R;U;;IUCRECNF;
LPRDS;;R;;;IUCRECNF;
IGLDO;;R;;;IUCRECNF;
LCTPS;;R;;;IUCRECNF;
LPSNS;;R;;;IUCRECNF;
LELCS;;R;;;IUCRECNF;
ITLDO;;R;;;IUCRECNF;
IPTIO;;R;;;IUCRECNF;
LPHYS;;R;;;IUCRECNF;
IODUS;;R;;;IUCRECNF;
SECUR;;R;;;IUCRECNF;
ICNFO;C;R;;;IUCRECNF;
IFXCO;;R;;;IUCRECNF;
IFRAO;;R;;;IUCRECNF;
IOPTS;;R;;;IUCRECNF;
IGIRO;;R;;;IUCRECNF;
ITIRO;;R;;;IUCRECNF;
LCBNS;;R;;;IUCRECNF;
ABA1S;;R;;;IUCRECNF;
TSHNO;;R;;;IUCRECNF;
IILDO;;R;;;IUCRECNF;
IICSO;C;;;;IUCRECNF;
REFFL;;R;;;IUCRECNF;
IPIBO;C;;;;IUCRECNF;
ABA1S;;R;;;IUREMMATFR;
LCBNS;;R;;;IUREMMATFR;
LCORO;;R;;;IUREMMATFR;
AASPS;;R;;;IUREMMATFR;
RSTRT;C;R;U;;IUREMMATFR;
PRSNL;;R;;;IUREMMATFR;
PRNTR;;R;;;IUREMMATFR;
RPDEF;;R;;;IUREMMATFR;
LRCES;;R;;;IUREMMATFR;
