Table_Name;IFS_4T_Module
LRCEO;Core_Banking
LRCES;Core_Banking
LRCLL;Core_Banking
LRESS;Core_Banking
LSUPL;Core_Banking
LSUPS;Core_Banking
LTARO;Payment_And_Cash_Management
MNDEF;Core_Banking
NWSMN;Core_Banking
PRNTR;Core_Banking
PRSIO;Core_Banking
PRSNL;Core_Banking
RCHDS;Payment_And_Cash_Management
RCHQS;Payment_And_Cash_Management
RCHRO;Payment_And_Cash_Management
REFFL;Core_Banking
RPDEF;Core_Banking
RPSCH;Core_Banking
RSTRT;Core_Banking
SECIO;Core_Banking
SECRL;Core_Banking
SECUR;Core_Banking
TSHNO;Core_Banking
XFXAS;Core_Banking
XFXCO;Core_Banking
XFXTO;Core_Banking
XGBAO;Core_Banking
XGBUL;Core_Banking
XGBUO;Core_Banking
XGDCL;Core_Banking
XGDCS;Core_Banking
XGMVL;Core_Banking
XGMVO;Core_Banking
XGPAL;Core_Banking
XGPAO;Core_Banking
XGPML;Core_Banking
XGPMO;Core_Banking
XHVBO;Core_Banking
